Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity,Name of Activity ,Orientalism,
1,2,1- Jan-2022,https://www.instagram.com/p/CYLi5TvplaD/,2,Saudi Arabia,1,"9,069",0,,0,,0,0,,0,,0,0,0,,0,,0,,1,
2,2,3- Jan-2022,https://www.instagram.com/p/CYRNCZDMfHx/,1,"Riyadh, Saudi Arabia",0,709,1,,0,,1,0,,0,,3,0,0,,0,,1,luxury camping,1,
3,2,4- Jan-2022,https://www.instagram.com/p/CYUMUp7hHWQ/,1,Al Balad,1,"1,522",0,,0,,0,0,,0,,3,0,0,,0,,0,,1,
4,2,5- Jan-2022,https://www.instagram.com/p/CYWs2lmsMo1/,1,,0,535,0,,0,,1,1,,0,,0,0,0,,0,,0,,0,
5,2,7- Jan-2022,https://www.instagram.com/p/CYbR249FGam/,1,"Riyadh, Saudi Arabia",0,808,0,,0,,0,0,,0,,3,0,1,,0,,1,cinema,1,
6,2,10- Jan-2022,https://www.instagram.com/p/CYjXKyqlNcs/,1,"AlUla, Saudi Arabia",1,"1,578",1,AlUla ,0,,1,0,,0,,0,1,0,,0,,1,farmers market,0,
7,2,14- Jan-2022,https://www.instagram.com/p/CYs_eQKsmHt/,1,"Riyadh, Saudi Arabia",0,667,0,,0,,0,0,,0,,0,0,1,,1,Riyadh Season,1,"Ice skating, live entertainment, fairground rides",1,
8,2,14- Jan-2022,https://www.instagram.com/p/CYta8_bstgv/,1,,0,802,0,,0,,1,1,mountain,0,,0,0,0,,0,,0,,0,
9,2,17- Jan-2022,https://www.instagram.com/p/CY1Ee_qFBLQ/,1,"AlUla, Saudi Arabia",0,871,0,,0,,1,1,mountain,0,,2,0,0,,0,,1,sensory installments,1,
10,2,22- Jan-2022,https://www.instagram.com/p/CZCdQeqBmic/,1,Hegra,1,"2,026",1,Hegra,0,,1,0,,0,,2,0,0,,0,,1,Desert dining,1,
11,2,26- Jan-2022,https://www.instagram.com/p/CZMHD4IJ15Q/,2,"AlUla, Saudi Arabia",1,993,1,AlUla,0,,1,0,,0,,0,0,0,,0,,1,Fashion show in the desert,1,
12,2,28- Jan-2022,https://www.instagram.com/p/CZRLHEesSPZ/,1,Diriyah,0,581,0,,0,,0,0,,0,,0,0,0,,1,,0,,1,
13,2,28- Jan-2022,https://www.instagram.com/p/CZRgmD4Jvd-/,2,"Tabuk, Saudi Arabi",1,"1,169",0,,0,,0,1,Snowy mountains,1,camels,3,1,0,,0,,1,"sledding, hiking",1,
14,2,29- Jan-2022,https://www.instagram.com/p/CZUC3RYsmnD/,1,Diriyah,0,758,0,,0,,0,0,,0,,0,0,0,,0,,0,,1,
15,2,1- Feb-2022,https://www.instagram.com/p/CZb0q-RM3Gy/,1,"AlUla, Saudi Arabia",1,"19,390",1,Hegra,0,,1,0,,0,,0,0,0,,0,,0,,0,
16,2,2- Feb-2022,https://www.instagram.com/p/CZeZd6UsnBD/,1,,0,"5,998",0,,0,,1,0,,0,,2,0,0,,0,,0,,1,
17,2,6- Feb-2022,https://www.instagram.com/p/CZopN4pskLr/,1,"AlUla, Saudi Arabia",0,"1,217",0,,0,,1,0,,0,,2,0,0,,0,,0,,1,
18,2,9- Feb-2022,https://www.instagram.com/p/CZwhQiNsVXO/,1,"Riyadh, Saudi Arabia",0,"1,821",0,,0,,0,0,,0,,3,0,0,,1,Ryadh Season,1,"live music, dining",1,
19,2,13- Apr-2022,https://www.instagram.com/p/CcSm__DhcOY/,2,,1,"1,846",1,,0,,1,0,,0,,3,0,0,,0,,0,,1,
20,2,22- Apr-2022,https://www.instagram.com/p/CcpS8eVMqCs/,2,"Taif, Saudi Arabia",1,"1,366",0,,1,Ramadan video,0,1,Mountain,0,,3,1,0,,0,,0,,0,
21,2,25- Apr-2022,https://www.instagram.com/p/Ccw7oPVFSyX/,2,"Jeddah, Saudi Arabia",1,"2,693",0,,1,Ramadan video,0,0,,0,,3,1,0,,0,,0,,0,
