Unit,Name,Date (DD- MON- YYYY),Link,Type,Place,Cultural Site,Religion Theme,Desert,Nature,Wildlife,Attire,Cuisine,Architecture,Megaevents/Festivals,Leisure Activity,Orientalism,,,,,,,,,,,,,,,
2,2,3- Jan-2022,https://www.instagram.com/p/CYRNCZDMfHx/,1,1,1,0,1,0,0,3,0,0,0,1,1,,,,,,,,,,,,,,,
12,2,28- Jan-2022,https://www.instagram.com/p/CZRLHEesSPZ/,1,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,
16,2,2- Feb-2022,https://www.instagram.com/p/CZeZd6UsnBD/,1,0,0,0,1,0,0,2,0,0,1,0,1,,,,,,,,,,,,,,,
17,2,6- Feb-2022,https://www.instagram.com/p/CZopN4pskLr/,1,0,1,0,1,0,0,2,0,0,1,0,1,,,,,,,,,,,,,,,
22,2,1- May-2022,https://www.instagram.com/p/CdBbkuWMbAq/,2,1,0,1,0,0,0,3,1,0,0,0,1,,,,,,,,,,,,,,,
23,2,4- May-2022,https://www.instagram.com/p/CdIQeZbBy3V/,1,1,0,0,0,0,0,3,0,0,1,0,1,,,,,,,,,,,,,,,
33,2,15- Jul-2022,https://www.instagram.com/p/CgBFzqYMfUd/,1,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,
36,2,23- Jul-2022,https://www.instagram.com/p/CgUlzdhMv9j/,1,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,
40,2,30- Jul-2022,https://www.instagram.com/p/CgorioMOD-i/,1,0,0,0,1,0,0,3,0,0,0,1,1,,,,,,,,,,,,,,,
41,2,1- Aug-2022,https://www.instagram.com/p/Cgtvg1ssvpy/,1,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
43,2,8- Aug-2022,https://www.instagram.com/p/Cg_PMiwsvmv/,1,0,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,
46,2,26- Aug-2022,https://www.instagram.com/p/Cht_9Fyu-Ss/,1,1,0,0,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,,
65,2,12- Oct-2022,https://www.instagram.com/p/CjnDqzLPX35/,2,1,1,0,1,1,0,3,0,1,0,1,1,,,,,,,,,,,,,,,
74,2,11- Nov-2022,https://www.instagram.com/p/CkznTNaqNwg/,2,1,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,
76,2,18- Nov-2022,https://www.instagram.com/p/ClGQ2qtIdzV/,2,1,1,0,1,1,1,3,0,0,0,1,1,,,,,,,,,,,,,,,
78,2,23- Nov-2022,https://www.instagram.com/p/ClTSkqQKirL/,2,0,0,0,0,1,0,2,0,0,0,0,1,,,,,,,,,,,,,,,
82,2,1- Dec-2022,https://www.instagram.com/p/ClnHLrqq6MK/,1,0,0,0,0,0,0,3,0,0,1,1,1,,,,,,,,,,,,,,,
83,2,5- Dec-2022,https://www.instagram.com/p/ClyYfiohKib/,2,0,0,0,0,0,0,3,0,0,1,0,1,,,,,,,,,,,,,,,
92,2,19- Dec-2022,https://www.instagram.com/p/CmWwxT_oDcF/,1,0,0,0,0,0,0,3,0,0,0,0,1,,,,,,,,,,,,,,,
97,2,24- Dec-2022,https://www.instagram.com/p/CmijMAws4NJ/,1,1,1,0,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
