Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity ,Name of Activity ,Orientalism,
1,1,11- Jan-2022,https://www.instagram.com/p/CYk1ncpMMN_/,1,Dubai Marina,0,"26,597",0,,0,,0,0,,0,,0,0,1,,0,,0,,1,
2,1,11- Jan-2022,https://www.instagram.com/p/CYmEeyjo9uz/,2,,0,"14,340",0,,0,,0,0,,0,,2,0,1,Burj Khalifa,0,,1,Edge walk,1,
3,1,14- Jan-2022,https://www.instagram.com/p/CYtwB5Uv6OV/,1,Expo City Dubai,0,"12,776",0,,0,,0,0,,0,,0,0,1,UAE Pavilion,1,Expo Dubai,0,,1,
4,1,18- Jan-2022,https://www.instagram.com/p/CY4HasmKRWN/,2,,0,"11,553",0,,0,,0,0,,0,,3,0,1,,0,,1,Ferris Wheel,1,
5,1,20- Jan-2022,https://www.instagram.com/p/CY9FbmEulYt/,1,Dubai Marina,1,"19,293",0,,0,,0,1,Beach,0,,0,0,1,,0,,0,,1,
6,1,26- Jan-2022,https://www.instagram.com/p/CZMUeD6ObLN/,1,"Dubai, United Arab Emirates",0,"6,774",0,,0,,0,1,Beach,0,,0,0,1,Skyline,0,,1,Solo Cinema Screening,1,
7,1,27- Jan-2022,https://www.instagram.com/p/CZOQEIUOQMr/,1,La Mer Dubai,0,"7,896",0,,0,,0,1,Beach and palm trees,0,,0,0,0,,0,,1,Swimmin,1,
8,1,27- Jan-2022,https://www.instagram.com/p/CZPF7DboiOd/,2,,0,"25,881",0,,0,,0,1,Beach,0,,2,1,1,,0,,1,"Swimming, infinity pool",1,
9,1,1- Feb-2022,https://www.instagram.com/p/CZbV3emI5Im/,2,The View at the Palm,1,"6,855",0,,0,,0,1,Island,0,,1,0,1,,0,,1,Observation deck,1,
10,1,2- Feb-2022,https://www.instagram.com/p/CZeetdBKWKp/,2,,1,"23,135",0,,0,,0,0,,0,,2,0,1,Museum of the Future,0,,1,Swimming,1,
